"","sciname","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","Vulnerability","Length","Importance","PriceCateg","PD50"
"11178","Hetereleotris vinsoni",NA,"demersal",NA,NA,10,NA,NA,"very high",0.5
"11179","Callionymus aagilis","elongated","demersal",NA,NA,23.23,10.66,NA,"unknown",0.5
"11180","Pseudojuloides kaleidos","elongated","reef-associated",5,35,17.67,10,NA,"very high",0.5005
"11181","Paramonacanthus arabicus","short and / or deep","demersal",1,35,13.37,6.7,NA,"unknown",0.5
"11182","Paramonacanthus tricuspis","short and / or deep","demersal",10,50,20.74,10,NA,"unknown",0.5
"11183","Tomiyamichthys alleni","elongated","demersal",15,40,11.03,3.8,"of no interest",NA,0.5005
"11184","Eustomias borealis","elongated","pelagic-oceanic",0,950,26.1,14.3,"of no interest","unknown",0.5
"11185","Hapalogenys merguiensis","short and / or deep","pelagic-neritic",78,180,19.52,17.9,NA,"medium",0.5078
"11186","Dasyatis marianae","other","demersal",2,15,90,40,NA,"low",0.5039
"11187","Gobius kolombatovici","fusiform / normal","demersal",15,90,24.37,9.19,NA,"very high",0.5
"11188","Coelorinchus gaesorhynchus","elongated","bathydemersal",NA,290,33.21,25,NA,"medium",0.5
"11189","Haemulon squamipinna","fusiform / normal","benthopelagic",2,30,20.13,11.5,NA,"medium",0.5
"11190","Amblyeleotris melanocephala","elongated","demersal",20,62,24.65,NA,NA,"very high",0.5
"11191","Myroconger prolixus","eel-like","bathydemersal",260,280,28.3,NA,"of no interest","unknown",0.5625
"11192","Myroconger nigrodentatus","eel-like","demersal",50,250,26.6,NA,"of no interest","unknown",0.5625
"11193","Gymnothorax intesi","eel-like","demersal",200,400,60.23,100,NA,"medium",0.5
"11194","Gymnothorax polyspondylus","eel-like","demersal",180,200,40.63,NA,NA,"medium",0.5
"11195","Gymnothorax prismodon","eel-like","demersal",10,44,37.86,49.7,NA,"medium",0.5
"11196","Coelorinchus mayiae","elongated","bathydemersal",150,200,35.89,28,NA,"medium",0.5
"11197","Coelorinchus thurla","elongated","bathydemersal",179,320,30.19,21,NA,"medium",0.5
"11198","Ogilbyina salvati","fusiform / normal","reef-associated",0,15,10,5.9,NA,"unknown",0.625
"11199","Pseudochromis moorei","elongated","reef-associated",12,25,10,12,NA,"unknown",0.5
"11200","Sonoda megalophthalma",NA,"benthopelagic",503,548,18.53,6,NA,"unknown",0.75
"11201","Varicus imswe","elongated","demersal",15,91,10,1.4,NA,"very high",1
"11202","Emblemariopsis pricei","elongated","reef-associated",1,30,12.39,2.86,NA,"unknown",0.5001
"11203","Catathyridium garmani","short and / or deep","demersal",NA,NA,22.54,17,NA,"very high",0.5625
"11204","Trinectes microphthalmus","short and / or deep","demersal",NA,NA,14.62,9.4,NA,"very high",0.501
"11205","Parrella macropteryx","elongated","demersal",1,10,11.53,4.19,NA,"very high",0.5312
"11206","Pariah scotius",NA,"demersal",12,28,10,2.5,NA,"very high",1
"11207","Nezumia leucoura","elongated","bathydemersal",688,854,31.44,23,NA,"medium",0.5
"11208","Nezumia merretti","elongated","bathydemersal",568,886,32.32,24.5,NA,"medium",0.5
"11209","Schedophilus haedrichi","fusiform / normal","pelagic-oceanic",NA,180,50.6,75,NA,"very high",0.5039
"11210","Parasphyraenops incisus","elongated","demersal",30,60,15.87,NA,NA,"very high",0.75
"11211","Boehlkenchelys longidentata","eel-like","demersal",12,65,10.07,20.1,NA,"unknown",1
"11212","Neomerinthe bauchotae","fusiform / normal","bathydemersal",50,510,25.18,10.1,NA,"high",0.5002
"11213","Jaydia photogaster","short and / or deep","benthopelagic",18,52,10,6,NA,"high",0.5
"11214","Acanthoplesiops echinatus","elongated","pelagic-neritic",8,34,10,4,NA,"unknown",0.5156
"11215","Apogonichthyoides gardineri","fusiform / normal","reef-associated",NA,NA,10,4.4,NA,"high",0.5
"11216","Lepidamia kalosoma","short and / or deep","reef-associated",3,15,15.01,14,NA,"high",0.5625
"11217","Nectamia zebrinus","short and / or deep","reef-associated",0,10,10,7.4,NA,"high",0.502
"11218","Taeniamia bilineata","fusiform / normal","reef-associated",1,12,10,3.75,NA,"high",0.5001
"11219","Callionymus caeruleonotatus","elongated","demersal",42,325,10,NA,NA,"unknown",0.5
"11220","Callionymus decoratus","elongated","demersal",1,134,32.71,20.8,NA,"unknown",0.5
"11221","Callionymus australis","elongated","demersal",NA,100,24.47,18,NA,"unknown",0.5
"11222","Chaetodon andamanensis","short and / or deep","reef-associated",10,40,11.53,15,NA,"unknown",0.5
"11223","Choerodon margaritiferus","fusiform / normal","demersal",NA,72,23.88,11,NA,"very high",0.5
"11224","Choridactylus striatus","elongated","demersal",26,33,35.02,15.9,NA,"unknown",0.5625
"11225","Ecsenius randalli","elongated","demersal",4,12,10.53,5,NA,"unknown",0.5
"11226","Tomiyamichthys fourmanoiri","elongated","demersal",NA,NA,15.49,5.9,NA,"very high",0.5005
"11227","Halichoeres chlorocephalus","fusiform / normal","reef-associated",15,30,16.21,7.5,NA,"very high",0.5
"11228","Halichoeres pardaleocephalus","fusiform / normal","reef-associated",2,10,24.17,11.2,NA,"very high",0.5
"11229","Odontanthias elizabethae","fusiform / normal","benthopelagic",107,291,20.13,10.9,NA,"very high",0.5
"11230","Odontanthias fuscipinnis","short and / or deep","benthopelagic",43,260,25.86,15.3,NA,"very high",0.5
"11231","Eviota susanae","fusiform / normal","reef-associated",1,5,10,1.85,NA,"very high",0.5
"11232","Citharichthys mariajorisae","short and / or deep","demersal",20,NA,20.74,12.39,NA,"very high",0.5
"11233","Apristurus fedorovi","elongated","bathypelagic",100,1500,53.06,68.3,NA,"low",0.5
"11234","Apristurus albisoma","elongated","bathydemersal",935,1564,50.12,59.6,NA,"low",0.5
"11235","Apristurus pinguis","elongated","bathypelagic",200,1000,57.53,83.5,NA,"low",0.5
"11236","Chrionema pallidum","elongated","bathydemersal",230,350,24.17,13.2,NA,"unknown",0.5156
"11237","Myrichthys magnificus","eel-like","demersal",1,262,37.38,78,NA,"unknown",0.5005
"11238","Trimmatom offucius","elongated","demersal",15,50,10,1.38,"of no interest",NA,0.5078
"11239","Protammodytes brachistos","elongated","benthopelagic",200,300,15.39,8.6,NA,"unknown",0.625
"11240","Oneirodes alius","short and / or deep","bathypelagic",575,1200,12.47,3.8,NA,"unknown",0.5
"11241","Bleekeria kallolepis","elongated","pelagic-neritic",NA,NA,19.69,10.6,NA,"unknown",0.5156
"11242","Ammodytoides vagus",NA,"demersal",5,35,25.86,15,NA,"unknown",0.501
"11243","Ammodytoides kimurai","elongated","demersal",NA,15,22.76,12.06,NA,"unknown",0.501
"11244","Ambophthalmos magnicirrus",NA,"demersal",NA,NA,20.5,25,NA,"unknown",0.625
"11245","Pseudochromis punctatus",NA,"reef-associated",10,65,10,10.4,NA,"unknown",0.5
"11246","Dysomma bucephalus","eel-like","demersal",NA,353,28.58,NA,NA,"unknown",0.5001
"11247","Thermobiotes mytilogeiton","eel-like","bathydemersal",NA,1750,19.65,24.3,NA,"unknown",1
"11248","Oneirodes micronema","short and / or deep","bathypelagic",650,1000,26.92,8.9,NA,"unknown",0.5
"11249","Gazza squamiventralis","short and / or deep","pelagic-neritic",4,13,11.53,9.6,NA,"medium",0.5312
"11250","Naso reticulatus","fusiform / normal","reef-associated",NA,15,47.26,49,NA,"medium",0.5
"11251","Gonorynchus forsteri","elongated","demersal",104,1233,43.45,48.6,NA,"unknown",0.5625
"11252","Gonorynchus moseleyi","elongated","demersal",0,183,26.6,30,NA,"unknown",0.5625
"11253","Physiculus grinnelli","elongated","benthopelagic",97,400,46.96,27.3,NA,"medium",0.5
"11254","Synodus lobeli","elongated","demersal",31,140,22.6,23.36,NA,"medium",0.5
"11255","Microdesmus luscus",NA,"demersal",0,8,10,4.59,NA,"unknown",0.5
"11256","Ostorhinchus luteus","fusiform / normal","reef-associated",1,49,10,4.42,NA,"high",0.5
"11257","Synodus randalli","elongated","benthopelagic",NA,NA,10.53,11.3,NA,"medium",0.5
"11258","Acromycter alcocki","eel-like","benthopelagic",388,640,24.8,25.3,NA,"medium",0.5312
"11259","Acromycter atlanticus","eel-like","bathydemersal",503,640,27.44,29.5,NA,"medium",0.5312
"11260","Japonoconger caribbeus","eel-like","bathydemersal",329,576,42.22,50.2,NA,"medium",0.625
"11261","Gnathophis heterolinea","eel-like","demersal",177,243,40.94,NA,NA,"medium",0.5
"11262","Conger macrocephalus","eel-like","bathydemersal",203,329,53.5,78.5,NA,"medium",0.5
"11263","Bathycongrus nasicus","eel-like","bathydemersal",230,1040,41.92,NA,NA,"medium",0.5
"11264","Conger philippinus","eel-like","demersal",NA,NA,78.52,NA,NA,"medium",0.5
"11265","Promyllantor purpureus","eel-like","bathydemersal",1120,2250,50.41,NA,NA,"medium",0.625
"11266","Japonoconger sivicolus","eel-like","bathydemersal",300,535,46.08,57,NA,"medium",0.625
"11267","Parabathymyrus brachyrhynchus","eel-like","bathydemersal",183,289,29.57,33,NA,"medium",0.5312
"11268","Ariosoma megalops","eel-like","demersal",NA,717,20.28,14.9,NA,"medium",0.5
"11269","Bathycongrus polyporus","eel-like","bathydemersal",439,549,36.22,43,NA,"medium",0.5
"11270","Paraliparis charcoti",NA,"bathydemersal",460,793,15.77,9.7,NA,"unknown",0.5
"11271","Echidna amblyodon","eel-like","demersal",2,20,23.69,20.5,NA,"medium",0.5005
"11272","Gymnothorax bacalladoi","eel-like","bathydemersal",17,604,32.33,34.7,NA,"medium",0.5
"11273","Polydactylus mullani","elongated","pelagic-oceanic",14,115,15.29,19,"highly commercial","very high",0.5
"11274","Stonogobiops yasha","elongated","demersal",15,40,12.47,NA,NA,"very high",0.5078
"11275","Gymnothorax dorsalis","eel-like","demersal",NA,NA,54.55,82.2,NA,"medium",0.5
"11276","Gymnothorax formosus","eel-like","demersal",NA,NA,68.59,NA,NA,"medium",0.5
"11277","Gymnothorax cephalospilus","eel-like","demersal",125,134,23.46,20.2,NA,"medium",0.5
"11278","Myxine formosana","eel-like","bathydemersal",588,1500,50.1,76.8,NA,"low",0.5
"11279","Trimma rubromaculatum","fusiform / normal","reef-associated",22,50,10,3.5,NA,"very high",0.5
"11280","Opsanus dichrostomus","elongated","demersal",1,5,31.85,12.6,NA,"unknown",0.5312
"11281","Myxine sotoi","eel-like","bathydemersal",690,810,44.21,52,NA,"low",0.5
"11282","Dibranchus spongiosa","short and / or deep","bathydemersal",700,1244,38.03,13.32,NA,"unknown",0.5001
"11283","Dibranchus cracens","short and / or deep","bathydemersal",152,480,37.62,12.83,NA,"unknown",0.5001
"11284","Dibranchus sparsus","short and / or deep","bathydemersal",443,528,31.66,8.37,NA,"unknown",0.5001
"11285","Dibranchus discors","short and / or deep","bathydemersal",310,965,35.21,10.79,NA,"unknown",0.5001
"11286","Stenogobius marinus","fusiform / normal","demersal",0,1,14.21,5.52,NA,"very high",0.5
"11287","Ariosoma obud","eel-like","demersal",NA,NA,42.63,NA,NA,"medium",0.5
"11288","Ariosoma sokotranum","eel-like","bathydemersal",395,420,42.63,NA,NA,"medium",0.5
"11289","Parabathymyrus karrerae","eel-like","bathydemersal",260,405,41.94,NA,NA,"medium",0.5312
"11290","Ogcocephalus porrectus","short and / or deep","demersal",88,146,38.45,13.85,NA,"unknown",0.5001
"11291","Halieutopsis simula","short and / or deep","bathydemersal",NA,512,26.81,6.53,NA,"unknown",0.501
"11292","Halieutopsis vermicularis","short and / or deep","bathydemersal",391,1141,30.14,7.8,NA,"unknown",0.501
"11293","Halieutopsis ingerorum","short and / or deep","bathydemersal",1380,2356,19.75,NA,NA,"unknown",0.501
"11294","Coelophrys oblonga",NA,"bathydemersal",1393,NA,23.79,NA,NA,"unknown",0.5078
"11295","Anthias noeli","fusiform / normal","reef-associated",184,351,31.65,29,"of no interest",NA,0.5039
"11296","Chromogobius britoi","fusiform / normal","demersal",6,65,10,3.37,NA,"very high",0.625
"11297","Rhynchoconger squaliceps","eel-like","demersal",NA,234,65.5,NA,NA,"medium",0.5078
"11298","Gnathophis heterognathos","eel-like","benthopelagic",183,199,34.46,41.5,NA,"medium",0.5
"11299","Hoplunnis megista","eel-like","bathydemersal",366,421,46.37,91.7,NA,"unknown",0.502
"11300","Facciolella karreri","eel-like","bathydemersal",700,2000,24.41,36.1,NA,"unknown",0.5156
"11301","Nettenchelys inion","eel-like","bathydemersal",458,531,26.23,42.3,NA,"unknown",0.5039
"11302","Nettenchelys exoria","eel-like","bathydemersal",277,494,27.97,46.7,NA,"unknown",0.5039
"11303","Proscyllium venustum","elongated","demersal",50,100,45.42,60,NA,"unknown",0.6328
"11304","Saurenchelys lateromaculatus","eel-like","demersal",NA,NA,36.16,NA,NA,"unknown",0.5039
"11305","Chlorophthalmus borealis","elongated","bathydemersal",244,262,15.9,NA,"commercial","unknown",0.5
"11306","Paraulopus legandi","elongated","bathydemersal",360,415,10,13.24,NA,"unknown",0.5001
"11307","Paraulopus maculatus","elongated","bathydemersal",178,290,10,17.3,NA,"unknown",0.5001
"11308","Bathylagichthys longipinnis","elongated","bathypelagic",0,400,39.38,12.2,NA,"unknown",0.5312
"11309","Nansenia megalopa","elongated","bathypelagic",0,1300,10,13.95,NA,"unknown",0.5
"11310","Parablennius dialloi",NA,"demersal",NA,NA,24.72,NA,NA,"unknown",0.5
"11311","Parablennius sierraensis","elongated","demersal",NA,NA,24.72,NA,NA,"unknown",0.5
"11312","Astronesthes nigroides","elongated","benthopelagic",0,50,22.42,12.8,NA,"unknown",0.5
"11313","Macroparalepis danae",NA,"bathypelagic",NA,2000,14.62,12.1,NA,"unknown",0.5078
"11314","Uncisudis advena",NA,"bathypelagic",813,997,10,6.2,NA,"unknown",0.5625
"11315","Bathypterois insularum",NA,"bathydemersal",NA,2086,58.19,NA,NA,"unknown",0.5
"11316","Ipnops meadi",NA,"bathydemersal",3310,4940,52.87,NA,"of no interest","unknown",0.625
"11317","Hoplichthys pectoralis",NA,"demersal",NA,NA,13.2,NA,NA,"unknown",0.5002
"11318","Himantolophus nigricornis",NA,"bathypelagic",NA,NA,13.79,NA,"of no interest","unknown",0.5
"11319","Himantolophus brevirostris","short and / or deep","bathypelagic",NA,3000,10,4,NA,"unknown",0.5
"11320","Acanthurus reversus","short and / or deep","reef-associated",4,15,29.38,34,NA,"medium",0.5
"11321","Pseudonezumia pusilla","elongated","bathydemersal",1380,2000,33.21,25,NA,"medium",0.5625
"11322","Nansenia pelagica","elongated","pelagic-oceanic",0,2000,10,10.75,NA,"unknown",0.5
"11323","Nansenia indica","elongated","benthopelagic",0,430,10.88,10.7,NA,"unknown",0.5
"11324","Bathysauropsis malayanus",NA,"bathydemersal",NA,886,61.72,NA,NA,"unknown",0.75
"11325","Eumicrotremus fedorovi",NA,"demersal",115,370,23.17,NA,NA,"unknown",0.5
"11326","Paraliparis albescens",NA,"bathydemersal",362,906,26.1,NA,NA,"unknown",0.5
"11327","Careproctus ampliceps",NA,"bathydemersal",2608,3514,14.21,NA,NA,"unknown",0.5
"11328","Liparis eos",NA,"demersal",36,260,19.04,13.7,NA,"unknown",0.5
"11329","Prognatholiparis ptychomandibularis","elongated","bathydemersal",NA,455,14.62,8.8,NA,"unknown",1
"11330","Coelorinchus brevirostris",NA,"benthopelagic",400,600,30.55,21.6,NA,"medium",0.5
"11331","Nezumia investigatoris","elongated","bathydemersal",353,897,45.51,NA,NA,"medium",0.5
"11332","Hymenocephalus nesaeae","elongated","bathypelagic",919,1000,24.63,14.3,NA,"medium",0.5
"11333","Malacocephalus boretzi","elongated","benthopelagic",270,290,52.19,47,NA,"medium",0.5078
"11334","Malacocephalus hawaiiensis",NA,"benthopelagic",300,1250,62.04,NA,NA,"medium",0.5078
"11335","Coryphaenoides alateralis","elongated","bathydemersal",1035,1116,33.91,26.5,NA,"medium",0.5
"11336","Poecilopsetta vaynei","short and / or deep","bathydemersal",65,510,43.47,NA,NA,"medium",0.5
"11337","Elassodiscus obscurus",NA,"bathydemersal",161,1773,38.48,28.6,NA,"unknown",0.625
"11338","Ammotretis macrolepis","short and / or deep","demersal",40,80,20.07,10,NA,"medium",0.5312
"11339","Coelorinchus pardus","elongated","benthopelagic",107,187,35.36,30,NA,"medium",0.5
"11340","Bathygadus entomelas",NA,"benthopelagic",636,796,27.77,17.8,NA,"medium",0.5001
"11341","Spicomacrurus adelscotti","elongated","benthopelagic",600,690,26.31,16,NA,"medium",0.5625
"11342","Radulinopsis derjavini",NA,"demersal",0,20,24.63,7,NA,"low",0.75
"11343","Talismania brachycephala","elongated","benthopelagic",NA,955,47.82,NA,NA,"unknown",0.5005
"11344","Alepocephalus antipodianus","elongated","bathydemersal",430,1160,65.53,66.2,NA,"unknown",0.5
"11345","Ventrifossa vinolenta","elongated","bathydemersal",745,825,31.44,23,NA,"medium",0.5
"11346","Alepocephalus asperifrons","elongated","bathydemersal",1431,1867,66.28,NA,NA,"unknown",0.5
"11347","Rouleina euryops",NA,"bathypelagic",622,1412,39,23.4,NA,"unknown",0.501
"11348","Bajacalifornia erimoensis","elongated","bathypelagic",892,966,43.7,36.6,NA,"unknown",0.5078
"11349","Alepocephalus fundulus","elongated","bathydemersal",2324,3060,33.49,18,NA,"unknown",0.5
"11350","Aulastomatomorpha phospherops","elongated","bathydemersal",1717,2020,42.89,28,NA,"unknown",1
"11351","Alepocephalus planifrons","elongated","bathydemersal",400,750,45.82,NA,NA,"unknown",0.5
"11352","Microphotolepis schmidti",NA,"bathydemersal",NA,NA,16.21,7.2,NA,"unknown",0.75
"11353","Eupogonesthes xenicus","elongated","bathydemersal",200,600,19.4,11.35,NA,"unknown",1
"11354","Lucigadus acrolophus","elongated","bathydemersal",405,450,28.25,18,NA,"medium",0.5039
"11355","Pseudonezumia parvipes","elongated","bathydemersal",1992,2308,38.2,30,NA,"medium",0.5625
"11356","Coelorinchus semaphoreus","elongated","bathydemersal",420,445,41.74,34,NA,"medium",0.5
"11357","Coelorinchus shcherbachevi","elongated","bathydemersal",790,835,56.65,NA,NA,"medium",0.5
"11358","Cetonurichthys subinflatus",NA,"bathydemersal",1316,1700,46.13,40,NA,"medium",1
"11359","Gadomus melanopterus",NA,"benthopelagic",572,1602,53.87,NA,NA,"medium",0.5001
"11360","Chromis abrupta","short and / or deep","reef-associated",0,22,13.37,5.36,NA,"unknown",0.5
"11361","Aseraggodes sinusarabici","short and / or deep","demersal",35,68,16.21,7.9,NA,"very high",0.5
"11362","Zebrias altipinnis",NA,"demersal",NA,46,28.48,20,NA,"very high",0.5
"11363","Symphurus luzonensis",NA,"demersal",NA,NA,24.15,NA,NA,"very high",0.5
"11364","Symphurus schultzi",NA,"bathydemersal",NA,494,24.15,NA,NA,"very high",0.5
"11365","Symphurus undatus","short and / or deep","bathydemersal",282,357,24.15,NA,NA,"very high",0.5
"11366","Chascanopsetta kenyaensis",NA,"bathydemersal",350,NA,46.81,NA,NA,"very high",0.5039
"11367","Arnoglossus nigrifrons",NA,"bathydemersal",300,NA,37.67,NA,NA,"very high",0.5
"11368","Arnoglossus yamanakai",NA,"demersal",20,30,37.67,NA,NA,"very high",0.5
"11369","Lycenchelys callista","eel-like","bathydemersal",1200,1830,30.41,20.3,NA,"unknown",0.5
"11370","Lycenchelys folletti",NA,"bathydemersal",660,953,26.64,15.8,NA,"unknown",0.5
"11371","Lycenchelys pequenoi",NA,"bathydemersal",10,1025,29.65,19.3,NA,"unknown",0.5
"11372","Lycenchelys peruana",NA,"bathydemersal",991,1100,21.46,10.5,NA,"unknown",0.5
"11373","Neocentropogon affinis",NA,"demersal",84,172,34.88,8.3,NA,"unknown",0.5156
"11374","Cocotropus altipinnis",NA,"demersal",NA,NA,10,3.15,NA,"unknown",0.5
"11375","Pseudochromis fowleri","elongated","demersal",0,2,10,5.3,NA,"unknown",0.5
"11376","Assiculoides desmonotus",NA,"reef-associated",0,NA,10,NA,NA,"unknown",1
"11377","Ocosia ramaraoi",NA,"demersal",145,274,35.11,8.19,NA,"unknown",0.5078
